;;;;;;;;;;;;;;;;;x
the_disunited_kingdom_title;The Disunited Kingdom;;;;;;;;;;;;;;;;;x
the_disunited_kingdom_desc;The United Kingdom is no longer working. Ever since their subjugation, the Irish have been plotting against the crown, attempting to break free. Secret meeting have been occurring in Wales and Scotland, conspiring to tear down everything our ancestors sacrificed to build. Everywhere, the United Kingdom's colonies prepare to rebel against her. Ourside the borders of the empire, her enemies plot against her. There is no stopping this wave of violence. \n\nIt may be possible for the empire to prevail against these internal cracks, but that is not our choice. Our choice is to save our sons for their true purpose!;;;;;;;;;;;;;;;;;x
returning_english_title;The British Question;;;;;;;;;;;;;;;;;x
returning_english_desc;With the global abdication of England's power, the question remains as to our policies surrounding the English settlers.;;;;;;;;;;;;;;;;;x
irish_settlers_title;The Irish Settlers Question;;;;;;;;;;;;;;;;;x
irish_settlers_desc;Ireland is no longer under our kingdom. While they were, a number of Irish moved to our English provinces. What should be done about them?;;;;;;;;;;;;;;;;;x
norman_princes_title;Norman Princes;;;;;;;;;;;;;;;;;x
norman_princes_desc;The current kings and queens of England are descendents of William the Conquerer. William, and many know, was a Norman. Since his time as King, we have lost his homeland. \n\nNo longer. Today Queen Victoria announced a bold idea: retake England's ancestral homeland. To victory, or death!;;;;;;;;;;;;;;;;;x
english_channel_title;The English Channel Crisis;;;;;;;;;;;;;;;;;x
english_channel_desc;The English Channel has long separated what people normally refer to as England and France. Why is it called the ENGLISH channel. Clearly this means that all land that touches the channel is rightfully English. \n\nSince their defeat in what is now being called the Norman War, diplomatic relations with the French have soured to the point of no return. There is no way they would just give us the land - we will have to take it by force.;;;;;;;;;;;;;;;;;x
stabilize_france_title;Stabilize France;;;;;;;;;;;;;;;;;x
stabilize_france_desc;The time has come. France is fracturing. Internal tensions are boiling. Soon, France will collapse. Members of our inner circle are urging us to take this opportunity, and so we shall!;;;;;;;;;;;;;;;;;x
the_french_question_title;The French Question;;;;;;;;;;;;;;;;;x
the_french_question_desc;It has been a number of years since France was defeated. We have provided stability to the region. There are beginning to be international questions about our prolonged occupation of French lands...;;;;;;;;;;;;;;;;;x
become_angevin_empire_title;The Angevin Empire;;;;;;;;;;;;;;;;;x
become_angevin_empire_desc;We have beat the French into the dust. Their nation no longer exists. Some may consider it archaic, but we hold much of the lands that the Angevins did in the twelth and thirteenth century. \n\nEngland no longer seems like the right name for our nation. We may be English, however, half of our land is French. Another name may be more suiting to our needs.;;;;;;;;;;;;;;;;;x
