;;;;;;;;;;;;;;;;;x
PROV400;Dunkerque;;;;;;;;;;;;;;;;;x
british_isles;British Isles;;;;;;;;;;;;;;;;;x
ireland;Ireland;;;;;;;;;;;;;;;;;x
rename_ireland_title;Rename Ireland;;;;;;;;;;;;;;;;;x
rename_ireland_desc;We now have complete hegemony over Ireland. It is time that the names reflect that.;;;;;;;;;;;;;;;;;x
rename_scotland_title;Rename Scotland;;;;;;;;;;;;;;;;;x
rename_scotland_desc;We now have complete hegemony over Scotland. It is time that the names reflect that.;;;;;;;;;;;;;;;;;x
rename_wales_title;Rename Wales;;;;;;;;;;;;;;;;;x
rename_wales_desc;We now have complete hegemony over Wales. It is time that the names reflect that.;;;;;;;;;;;;;;;;;x
rename_isle_of_man_title;Rename Isle of Man;;;;;;;;;;;;;;;;;x
rename_isle_of_man_desc;We now have complete hegemony over the Isle of Man. It is time that the names reflect that.;;;;;;;;;;;;;;;;;x
rename_cornwall_title;Rename Cornwall;;;;;;;;;;;;;;;;;x
rename_cornwall_desc;We now have complete hegemony over the Cornwall. It is time that the names reflect that.;;;;;;;;;;;;;;;;;x
