;;;;;;;;;;;;;;;;;x
no_infamy_mod;No Infamy;;;;;;;;;;;;;;;;;x
no_infamy_mod_desc;So you don't infamy I take it?;;;;;;;;;;;;;;;;;x
no_crisis;Refused to partake in latest crisis;;;;;;;;;;;;;;;;;x
no_crisis_desc;Exactly that;;;;;;;;;;;;;;;;;x
cultural_assimilation;Cultural Assimilation;;;;;;;;;;;;;;;;;x
cultural_assimilation_strong;Cultural Assimilation;;;;;;;;;;;;;;;;;x
gold_rush_small;Gold Production;;;;;;;;;;;;;;;;;x
local_hospital;Local Hospital;;;;;;;;;;;;;;;;;x
university_london;University of London;;;;;;;;;;;;;;;;;x
university_london_desc;The University of London is the most prestigious university in our country, and as such, is recognized internationally.;;;;;;;;;;;;;;;;;x
belle_vue_gardens;Belle Vue Zoological Gardens;;;;;;;;;;;;;;;;;x
royal_agricultural_society;Royal Agricultural Society;;;;;;;;;;;;;;;;;x
royal_agricultural_society_desc;The Royal Agricultural Society is an institution devoted to the scientific development of agriculture.;;;;;;;;;;;;;;;;;x
vassal_nation_player;Vassal Nation;;;;;;;;;;;;;;;;;x
vassal_nation_player_desc;Our government has come under the control of another country.;;;;;;;;;;;;;;;;;x
