;;;;;;;;;;;;;;;;;x
building_focus;Industry;;;;;;;;;;;;;;;;;x
artisan_prod_focus;Artisan Production;;;;;;;;;;;;;;;;;x
artisan_prod_colony_focus;Colonial Artisan Production;;;;;;;;;;;;;;;;;x
factory_prod_focus;Factory Production;;;;;;;;;;;;;;;;;x
rgo_prod_focus;RGO Production;;;;;;;;;;;;;;;;;x
rgo_prod_colony_focus;Colonial RGO Production;;;;;;;;;;;;;;;;;x
ship_focus;Ship Production;;;;;;;;;;;;;;;;;x
population_focus;Population;;;;;;;;;;;;;;;;;x
militancy_decrease;Fund Local Law Officials;;;;;;;;;;;;;;;;;x
militancy_increase;Antagonize the Population;;;;;;;;;;;;;;;;;x
consciousness_decrease;Decrease Political Awareness;;;;;;;;;;;;;;;;;x
consciousness_increase;Increase Political Awareness;;;;;;;;;;;;;;;;;x
assimilation_increase;Fund Assimilation Politices;;;;;;;;;;;;;;;;;x
colonial_immigration;Support Colonial Migration;;;;;;;;;;;;;;;;;x
social_programs;Invest in Social Programs;;;;;;;;;;;;;;;;;x
ruling_party_focus;Gather Popular Political Support;;;;;;;;;;;;;;;;;x
